task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
1570	PULL_IPD_KIR (249)	CACHED	0	1.8s	29.9%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.2 MB	5.4 KB
1567	PULL_IPD_MHC (232)	CACHED	0	1.7s	31.0%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	9.5 KB
1579	PULL_IPD_KIR (251)	CACHED	0	2s	39.7%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.2 MB	5.4 KB
1582	PULL_MHC_PROTEINS (236)	CACHED	0	1.8s	31.4%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	5.7 KB
1577	PULL_MHC_PROTEINS (235)	CACHED	0	2s	28.7%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	5.5 KB
1580	PULL_IPD_MHC (234)	CACHED	0	2s	29.9%	1.2%	46.8 MB	499.8 MB	46.8 MB	499.8 MB	6.6 MB	9.4 KB
1572	PULL_IPD_MHC (233)	CACHED	0	1.9s	28.9%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.6 MB	10 KB
1573	PULL_IPD_KIR (250)	CACHED	0	1.8s	30.0%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.2 MB	5.4 KB
1584	PULL_IPD_MHC (235)	CACHED	0	2s	27.5%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	12.3 KB
1590	PULL_IPD_MHC (236)	CACHED	0	2.1s	28.3%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	10.6 KB
1589	PULL_IPD_KIR (254)	CACHED	0	1.8s	31.9%	1.2%	46.1 MB	498.8 MB	46.1 MB	498.8 MB	6.2 MB	5.4 KB
1581	PULL_IPD_KIR (252)	CACHED	0	1.8s	36.5%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.2 MB	5.4 KB
1588	PULL_IPD_KIR (253)	CACHED	0	1.8s	29.0%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.2 MB	5.4 KB
1549	PULL_MHC_PROTEINS (234)	CACHED	0	2s	28.8%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	5.6 KB
1591	PULL_IPD_MHC (237)	CACHED	0	1.8s	32.7%	1.2%	45.7 MB	498.8 MB	45.7 MB	498.8 MB	6.6 MB	10.6 KB
1592	PULL_IPD_KIR (255)	CACHED	0	2.8s	20.0%	1.1%	43.8 MB	497.9 MB	43.8 MB	498.2 MB	6.2 MB	5.4 KB
1602	PULL_IPD_MHC (238)	CACHED	0	1.8s	36.6%	1.2%	46.8 MB	499.8 MB	46.8 MB	499.8 MB	6.6 MB	9.4 KB
1606	PULL_IPD_KIR (258)	CACHED	0	2.1s	29.4%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.2 MB	5.4 KB
1613	PULL_IPD_KIR (259)	CACHED	0	2.2s	31.7%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.2 MB	5.4 KB
1605	PULL_IPD_KIR (257)	CACHED	0	1.9s	31.8%	1.2%	45.5 MB	498.8 MB	45.5 MB	498.8 MB	6.2 MB	5.4 KB
